in out res
3.498471832099671 2.7428149488249196 1
1.7646493729550352 3.969673071438725 1
2.5795885508769127 3.304056807377763 1
5.65505133416896 0.19010367307885012 0
0.2958132954918975 5.2916514333378375 0
3.012140983553578 0.7216740882503832 1
4.004906395734776 5.542757662793186 0
0.7293168658975575 5.167872618290566 0
4.046352485373609 1.7842937689033334 0
1.5108757444262872 2.7436341027176447 1
2.8120127817642198 5.04430187476356 0
4.240189376909521 4.928588405097646 0
1.2245014972564752 3.7741851228340675 1
3.694312817110914 1.5699460950022441 1
2.989679306813768 3.678142266372962 1
1.7943238515207627 4.264213790073966 0
5.055685357121863 2.5585229344418017 0
3.5225422401986246 0.5991520749261752 0
3.468442407766921 4.862927674866963 0
3.664896813193979 5.168832020845942 0
3.1152021092154283 5.020856150967693 0
3.5340790676854454 4.575326444992532 0
5.0932043581370925 2.7618193744949173 0
1.5213120134747253 4.637080182509662 0
5.256550723662663 4.627986122792501 0
4.226994520828708 5.962963311091425 0
2.695623739564637 0.19884007773792378 1
0.8428892273082478 4.725398952395461 0
3.034217195185493 4.516385780490387 0
0.20663289627507586 4.257676750283353 0
4.077188024290912 0.063365241778917 0
2.8992971577204774 3.782120269039472 1
1.9009141351719228 0.3269799677631653 1
5.948371241251511 4.791039813357418 0
2.7215439964047814 5.221610910069559 0
2.7084824792575546 5.1489020067606655 0
0.2776419602522435 5.927408024036366 0
2.0196072457229923 2.991162410279221 1
1.2481963053250897 1.4809617029812365 1
5.755216310645906 3.9572867644594623 0
4.288641214472249 0.6362722075941631 0
4.357773784739413 3.9310312517673007 0
3.614037153529244 1.8755325998647403 1
0.31421776820368574 2.0143214598366903 1
3.757113998859742 0.9015778203084945 0
3.287014215906315 0.1719234217226644 0
1.6696896020516223 2.3226158853491334 1
0.17427586746415313 1.1483154267223323 0
4.60755075517609 2.4254532012220538 0
0.7241123973107082 5.194036142022426 0
1.4048842393262424 3.533037759778505 1
3.2304430144736376 5.155783051161311 0
1.0626528492517657 2.590605593144538 1
0.9585777564974705 1.9693819472362284 1
2.876896117093755 3.411368204467464 1
2.886436418969639 4.985607220928477 0
2.48362689122612 0.39801084944563003 1
0.11853835357678877 4.936434832708178 0
2.615745027280583 3.106955194430647 1
1.7593057790383106 5.9915680028543 0
2.0918844210358087 3.008624670048563 1
2.330414582787694 2.2455400038230593 1
4.589734781334129 5.539832322924869 0
0.938427677921474 3.3916597971475357 1
3.298529596934896 4.629756030080918 0
3.3543327492439277 3.1289278183395544 1
3.62826086313433 2.3686977921544425 1
3.1832696729272407 0.04178175335057599 0
1.3873366737919124 4.939068652816815 0
1.044132038158918 5.973451925970462 0
3.5057911230385757 1.1667127240857877 1
0.9030714906486295 3.424713925522248 1
1.06002493489069 5.373221617875403 0
4.8747694569990845 2.684259371489774 0
2.0490541340466795 1.2067225746881345 1
0.946982365313314 4.687163059034583 0
1.585763358458884 5.446688584064713 0
5.5452688630234785 2.202980805534564 0
2.9831363638328727 0.2573297620715582 0
1.507503177068784 0.734593080793009 1
3.9933873785841674 3.2156767995111495 0
4.111339467416595 3.8409191311273796 0
1.1480389293786062 1.9606907377598963 1
0.7538372270393241 1.9858642498946764 1
4.255167599591749 1.0116339177479934 0
0.19022113721515455 5.9984427908459335 0
0.5533503541890794 2.13836593550252 1
0.7526342136601354 3.5356476452782037 1
3.142945873472323 0.32736747320193027 0
1.6356530560777336 5.5015781942518185 0
5.151776940018021 0.7900228972052568 0
1.0926821828550315 0.21313333244675858 0
4.389578182936701 2.9254287015868634 0
2.143574067816145 4.161104391719968 0
1.7180449535020008 3.9164879857270605 1
5.912513240281221 4.26355408003411 0
0.6813781186292549 4.480732733064791 0
5.121164756525108 1.651918289541833 0
4.3607163028390294 4.069008521248345 0
5.850673231158406 5.14020933906839 0
5.089355690180363 5.559241499228372 0
5.262525010619663 5.186942386563776 0
1.2938080643436303 5.695279221017537 0
4.996142947994304 3.612810892845502 0
3.627912055177316 2.9278374958859414 1
1.4702458073808518 4.374346759621183 0
5.305679366597225 5.082768236551225 0
3.1455920488853066 4.2557142627987545 0
4.964190166180979 2.2992094863698336 0
1.4162967017902992 5.725595998753947 0
5.462717007490484 0.33591137499991897 0
1.9112754119913822 0.7958048864864105 1
3.272868463123258 0.15976213235801895 0
2.1666991909513245 1.6293869343908818 1
0.08505755398322856 5.586751560902123 0
2.895319965157389 4.029213588947534 0
4.1489442596186015 5.012238035549483 0
1.3492384561626949 1.9647285093916103 1
2.7880083136404927 0.6473522300563399 1
5.386140885570654 5.001214770944715 0
2.7198862981794374 2.7768381266806825 1
4.6746433779867615 1.7582645302052589 0
2.596999324998679 3.7972537418828414 1
1.8320482697027956 2.2705208259230845 1
1.1002976088864576 1.667870609463407 1
2.07471067236207 4.420229898602833 0
5.38051449643781 4.2839945065922365 0
0.07720877572390439 1.728444828332076 1
2.711699865406483 4.978557790506228 0
4.9353071994996185 5.321869595854755 0
4.488630161070166 1.896147650196724 0
2.2612290295585917 3.2166942661908293 1
5.809761424456833 0.05477684915058045 0
2.6941012904913215 0.012026705440201901 0
2.3977004172625196 2.6887557934015685 1
4.689557228042502 2.8823054863975353 0
5.5930285975917275 0.36694150111715107 0
1.2245189422636233 1.6348749818102926 1
2.918451986602665 5.406609758922196 0
2.1425658584066554 5.622783088773923 0
2.9806615826039145 5.000093745691584 0
